1754597482.929498 server started (12723): version next-3.6, socket /tmp/tmux-0/default, protocol 8
1754597482.929505 on FreeBSD 14.3-RELEASE FreeBSD 14.3-RELEASE releng/14.3-n271432-8c9ce319fef7 GENERIC
1754597482.929509 using libevent 2.1.12-stable poll
1754597482.929512 using ncurses 6.5 20240427
1754597482.929609 input_key_build: 0x10e003 (PasteStart) is \033[200~
1754597482.929618 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1754597482.929622 input_key_build: 0x10e25b (F1) is \033OP
1754597482.929625 input_key_build: 0x10e25c (F2) is \033OQ
1754597482.929631 input_key_build: 0x10e25d (F3) is \033OR
1754597482.929635 input_key_build: 0x10e25e (F4) is \033OS
1754597482.929639 input_key_build: 0x10e25f (F5) is \033[15~
1754597482.929643 input_key_build: 0x10e260 (F6) is \033[17~
1754597482.929647 input_key_build: 0x10e261 (F7) is \033[18~
1754597482.929651 input_key_build: 0x10e262 (F8) is \033[19~
1754597482.929654 input_key_build: 0x10e263 (F9) is \033[20~
1754597482.929658 input_key_build: 0x10e264 (F10) is \033[21~
1754597482.929664 input_key_build: 0x10e265 (F11) is \033[23~
1754597482.929669 input_key_build: 0x10e266 (F12) is \033[24~
1754597482.929672 input_key_build: 0x10e267 (IC) is \033[2~
1754597482.929675 input_key_build: 0x10e268 (DC) is \033[3~
1754597482.929678 input_key_build: 0x10e269 (Home) is \033[1~
1754597482.929681 input_key_build: 0x10e26a (End) is \033[4~
1754597482.929684 input_key_build: 0x10e26b (NPage) is \033[6~
1754597482.929687 input_key_build: 0x10e26c (PPage) is \033[5~
1754597482.929691 input_key_build: 0x10e26d (BTab) is \033[Z
1754597482.929698 input_key_build: 0x10e26e (Up) is \033[A
1754597482.929702 input_key_build: 0x10e26f (Down) is \033[B
1754597482.929705 input_key_build: 0x10e270 (Left) is \033[D
1754597482.929708 input_key_build: 0x10e271 (Right) is \033[C
1754597482.929711 input_key_build: 0x10e272 (KP/) is /
1754597482.929714 input_key_build: 0x10e273 (KP*) is *
1754597482.929717 input_key_build: 0x10e274 (KP-) is -
1754597482.929720 input_key_build: 0x10e275 (KP7) is 7
1754597482.929725 input_key_build: 0x10e276 (KP8) is 8
1754597482.929728 input_key_build: 0x10e277 (KP9) is 9
1754597482.929731 input_key_build: 0x10e278 (KP+) is +
1754597482.929734 input_key_build: 0x10e279 (KP4) is 4
1754597482.929737 input_key_build: 0x10e27a (KP5) is 5
1754597482.929740 input_key_build: 0x10e27b (KP6) is 6
1754597482.929743 input_key_build: 0x10e27c (KP1) is 1
1754597482.929746 input_key_build: 0x10e27d (KP2) is 2
1754597482.929749 input_key_build: 0x10e27e (KP3) is 3
1754597482.929752 input_key_build: 0x10e27f (KPEnter) is \n
1754597482.929757 input_key_build: 0x10e280 (KP0) is 0
1754597482.929760 input_key_build: 0x10e281 (KP.) is .
1754597482.929766 input_key_build: 0x10e282 (Invalid#10e282) is \033[?997;1n
1754597482.929771 input_key_build: 0x10e283 (Invalid#10e283) is \033[?997;2n
1754597482.929774 input_key_build: 0x20000010e25b (C-F1) is \033[1;5P
1754597482.929777 input_key_build: 0x20000010e25c (C-F2) is \033[1;5Q
1754597482.929780 input_key_build: 0x20000010e25d (C-F3) is \033[1;5R
1754597482.929785 input_key_build: 0x20000010e25e (C-F4) is \033[1;5S
1754597482.929788 input_key_build: 0x20000010e25f (C-F5) is \033[15;5~
1754597482.929791 input_key_build: 0x20000010e260 (C-F6) is \033[17;5~
1754597482.929794 input_key_build: 0x20000010e261 (C-F7) is \033[18;5~
1754597482.929797 input_key_build: 0x20000010e262 (C-F8) is \033[19;5~
1754597482.929800 input_key_build: 0x20000010e263 (C-F9) is \033[20;5~
1754597482.929803 input_key_build: 0x20000010e264 (C-F10) is \033[21;5~
1754597482.929806 input_key_build: 0x20000010e265 (C-F11) is \033[23;5~
1754597482.929810 input_key_build: 0x20000010e266 (C-F12) is \033[24;5~
1754597482.929813 input_key_build: 0x20000010e267 (C-IC) is \033[2;5~
1754597482.929816 input_key_build: 0x20000010e268 (C-DC) is \033[3;5~
1754597482.929819 input_key_build: 0x20000010e269 (C-Home) is \033[1;5H
1754597482.929822 input_key_build: 0x20000010e26a (C-End) is \033[1;5F
1754597482.929825 input_key_build: 0x20000010e26b (C-NPage) is \033[6;5~
1754597482.929828 input_key_build: 0x20000010e26c (C-PPage) is \033[5;5~
1754597482.929834 input_key_build: 0x20000010e26e (C-Up) is \033[1;5A
1754597482.929837 input_key_build: 0x20000010e26f (C-Down) is \033[1;5B
1754597482.929840 input_key_build: 0x20000010e270 (C-Left) is \033[1;5D
1754597482.929843 input_key_build: 0x20000010e271 (C-Right) is \033[1;5C
1754597482.929847 input_key_build: 0x40000010e25b (S-F1) is \033[1;2P
1754597482.929850 input_key_build: 0x40000010e25c (S-F2) is \033[1;2Q
1754597482.929853 input_key_build: 0x40000010e25d (S-F3) is \033[1;2R
1754597482.929857 input_key_build: 0x40000010e25e (S-F4) is \033[1;2S
1754597482.929860 input_key_build: 0x40000010e25f (S-F5) is \033[15;2~
1754597482.929863 input_key_build: 0x40000010e260 (S-F6) is \033[17;2~
1754597482.929866 input_key_build: 0x40000010e261 (S-F7) is \033[18;2~
1754597482.929869 input_key_build: 0x40000010e262 (S-F8) is \033[19;2~
1754597482.929872 input_key_build: 0x40000010e263 (S-F9) is \033[20;2~
1754597482.929875 input_key_build: 0x40000010e264 (S-F10) is \033[21;2~
1754597482.929881 input_key_build: 0x40000010e265 (S-F11) is \033[23;2~
1754597482.929884 input_key_build: 0x40000010e266 (S-F12) is \033[24;2~
1754597482.929887 input_key_build: 0x40000010e267 (S-IC) is \033[2;2~
1754597482.929890 input_key_build: 0x40000010e268 (S-DC) is \033[3;2~
1754597482.929893 input_key_build: 0x40000010e269 (S-Home) is \033[1;2H
1754597482.929896 input_key_build: 0x40000010e26a (S-End) is \033[1;2F
1754597482.929899 input_key_build: 0x40000010e26b (S-NPage) is \033[6;2~
1754597482.929903 input_key_build: 0x40000010e26c (S-PPage) is \033[5;2~
1754597482.929907 input_key_build: 0x40000010e26e (S-Up) is \033[1;2A
1754597482.929910 input_key_build: 0x40000010e26f (S-Down) is \033[1;2B
1754597482.929913 input_key_build: 0x40000010e270 (S-Left) is \033[1;2D
1754597482.929916 input_key_build: 0x40000010e271 (S-Right) is \033[1;2C
1754597482.929919 input_key_build: 0x60000010e25b (C-S-F1) is \033[1;6P
1754597482.929922 input_key_build: 0x60000010e25c (C-S-F2) is \033[1;6Q
1754597482.929927 input_key_build: 0x60000010e25d (C-S-F3) is \033[1;6R
1754597482.929930 input_key_build: 0x60000010e25e (C-S-F4) is \033[1;6S
1754597482.929933 input_key_build: 0x60000010e25f (C-S-F5) is \033[15;6~
1754597482.929936 input_key_build: 0x60000010e260 (C-S-F6) is \033[17;6~
1754597482.929939 input_key_build: 0x60000010e261 (C-S-F7) is \033[18;6~
1754597482.929942 input_key_build: 0x60000010e262 (C-S-F8) is \033[19;6~
1754597482.929945 input_key_build: 0x60000010e263 (C-S-F9) is \033[20;6~
1754597482.929950 input_key_build: 0x60000010e264 (C-S-F10) is \033[21;6~
1754597482.929953 input_key_build: 0x60000010e265 (C-S-F11) is \033[23;6~
1754597482.929956 input_key_build: 0x60000010e266 (C-S-F12) is \033[24;6~
1754597482.929969 input_key_build: 0x60000010e267 (C-S-IC) is \033[2;6~
1754597482.929973 input_key_build: 0x60000010e268 (C-S-DC) is \033[3;6~
1754597482.929976 input_key_build: 0x60000010e269 (C-S-Home) is \033[1;6H
1754597482.929979 input_key_build: 0x60000010e26a (C-S-End) is \033[1;6F
1754597482.929984 input_key_build: 0x60000010e26b (C-S-NPage) is \033[6;6~
1754597482.929987 input_key_build: 0x60000010e26c (C-S-PPage) is \033[5;6~
1754597482.929990 input_key_build: 0x60000010e26e (C-S-Up) is \033[1;6A
1754597482.929993 input_key_build: 0x60000010e26f (C-S-Down) is \033[1;6B
1754597482.929996 input_key_build: 0x60000010e270 (C-S-Left) is \033[1;6D
1754597482.930000 input_key_build: 0x60000010e271 (C-S-Right) is \033[1;6C
1754597482.930003 input_key_build: 0x200000010e272 (KP/[K]) is \033Oo
1754597482.930008 input_key_build: 0x200000010e273 (KP*[K]) is \033Oj
1754597482.930011 input_key_build: 0x200000010e274 (KP-[K]) is \033Om
1754597482.930014 input_key_build: 0x200000010e275 (KP7[K]) is \033Ow
1754597482.930017 input_key_build: 0x200000010e276 (KP8[K]) is \033Ox
1754597482.930021 input_key_build: 0x200000010e277 (KP9[K]) is \033Oy
1754597482.930024 input_key_build: 0x200000010e278 (KP+[K]) is \033Ok
1754597482.930027 input_key_build: 0x200000010e279 (KP4[K]) is \033Ot
1754597482.930030 input_key_build: 0x200000010e27a (KP5[K]) is \033Ou
1754597482.930036 input_key_build: 0x200000010e27b (KP6[K]) is \033Ov
1754597482.930039 input_key_build: 0x200000010e27c (KP1[K]) is \033Oq
1754597482.930042 input_key_build: 0x200000010e27d (KP2[K]) is \033Or
