1754595682.318086 server started (7616): version next-3.6, socket /tmp/tmux-0/default, protocol 8
1754595682.318109 on FreeBSD 14.3-RELEASE FreeBSD 14.3-RELEASE releng/14.3-n271432-8c9ce319fef7 GENERIC
1754595682.318119 using libevent 2.1.12-stable poll
1754595682.318128 using ncurses 6.5 20240427
1754595682.318276 input_key_build: 0x10e003 (PasteStart) is \033[200~
1754595682.318296 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1754595682.318305 input_key_build: 0x10e25b (F1) is \033OP
1754595682.318315 input_key_build: 0x10e25c (F2) is \033OQ
1754595682.318331 input_key_build: 0x10e25d (F3) is \033OR
1754595682.318340 input_key_build: 0x10e25e (F4) is \033OS
1754595682.318349 input_key_build: 0x10e25f (F5) is \033[15~
1754595682.318358 input_key_build: 0x10e260 (F6) is \033[17~
1754595682.318367 input_key_build: 0x10e261 (F7) is \033[18~
1754595682.318376 input_key_build: 0x10e262 (F8) is \033[19~
1754595682.318384 input_key_build: 0x10e263 (F9) is \033[20~
1754595682.318393 input_key_build: 0x10e264 (F10) is \033[21~
1754595682.318406 input_key_build: 0x10e265 (F11) is \033[23~
1754595682.318415 input_key_build: 0x10e266 (F12) is \033[24~
1754595682.318424 input_key_build: 0x10e267 (IC) is \033[2~
1754595682.318433 input_key_build: 0x10e268 (DC) is \033[3~
1754595682.318442 input_key_build: 0x10e269 (Home) is \033[1~
1754595682.318450 input_key_build: 0x10e26a (End) is \033[4~
1754595682.318459 input_key_build: 0x10e26b (NPage) is \033[6~
1754595682.318468 input_key_build: 0x10e26c (PPage) is \033[5~
1754595682.318477 input_key_build: 0x10e26d (BTab) is \033[Z
1754595682.318491 input_key_build: 0x10e26e (Up) is \033[A
1754595682.318500 input_key_build: 0x10e26f (Down) is \033[B
1754595682.318509 input_key_build: 0x10e270 (Left) is \033[D
1754595682.318518 input_key_build: 0x10e271 (Right) is \033[C
1754595682.318527 input_key_build: 0x10e272 (KP/) is /
1754595682.318536 input_key_build: 0x10e273 (KP*) is *
1754595682.318545 input_key_build: 0x10e274 (KP-) is -
1754595682.318553 input_key_build: 0x10e275 (KP7) is 7
1754595682.318567 input_key_build: 0x10e276 (KP8) is 8
1754595682.318575 input_key_build: 0x10e277 (KP9) is 9
1754595682.318584 input_key_build: 0x10e278 (KP+) is +
1754595682.318593 input_key_build: 0x10e279 (KP4) is 4
1754595682.318602 input_key_build: 0x10e27a (KP5) is 5
1754595682.318611 input_key_build: 0x10e27b (KP6) is 6
1754595682.318620 input_key_build: 0x10e27c (KP1) is 1
1754595682.318628 input_key_build: 0x10e27d (KP2) is 2
1754595682.318637 input_key_build: 0x10e27e (KP3) is 3
1754595682.318647 input_key_build: 0x10e27f (KPEnter) is \n
1754595682.318660 input_key_build: 0x10e280 (KP0) is 0
1754595682.318669 input_key_build: 0x10e281 (KP.) is .
1754595682.318686 input_key_build: 0x10e282 (Invalid#10e282) is \033[?997;1n
1754595682.318697 input_key_build: 0x10e283 (Invalid#10e283) is \033[?997;2n
1754595682.318723 input_key_build: 0x20000010e25b (C-F1) is \033[1;5P
1754595682.318733 input_key_build: 0x20000010e25c (C-F2) is \033[1;5Q
1754595682.318742 input_key_build: 0x20000010e25d (C-F3) is \033[1;5R
1754595682.318755 input_key_build: 0x20000010e25e (C-F4) is \033[1;5S
1754595682.318764 input_key_build: 0x20000010e25f (C-F5) is \033[15;5~
1754595682.318773 input_key_build: 0x20000010e260 (C-F6) is \033[17;5~
1754595682.318782 input_key_build: 0x20000010e261 (C-F7) is \033[18;5~
1754595682.318791 input_key_build: 0x20000010e262 (C-F8) is \033[19;5~
1754595682.318800 input_key_build: 0x20000010e263 (C-F9) is \033[20;5~
1754595682.318809 input_key_build: 0x20000010e264 (C-F10) is \033[21;5~
1754595682.318819 input_key_build: 0x20000010e265 (C-F11) is \033[23;5~
1754595682.318832 input_key_build: 0x20000010e266 (C-F12) is \033[24;5~
1754595682.318841 input_key_build: 0x20000010e267 (C-IC) is \033[2;5~
1754595682.318850 input_key_build: 0x20000010e268 (C-DC) is \033[3;5~
1754595682.318875 input_key_build: 0x20000010e269 (C-Home) is \033[1;5H
1754595682.318885 input_key_build: 0x20000010e26a (C-End) is \033[1;5F
1754595682.318895 input_key_build: 0x20000010e26b (C-NPage) is \033[6;5~
1754595682.318904 input_key_build: 0x20000010e26c (C-PPage) is \033[5;5~
1754595682.318943 input_key_build: 0x20000010e26e (C-Up) is \033[1;5A
1754595682.318953 input_key_build: 0x20000010e26f (C-Down) is \033[1;5B
1754595682.318963 input_key_build: 0x20000010e270 (C-Left) is \033[1;5D
1754595682.318972 input_key_build: 0x20000010e271 (C-Right) is \033[1;5C
1754595682.318982 input_key_build: 0x40000010e25b (S-F1) is \033[1;2P
1754595682.318991 input_key_build: 0x40000010e25c (S-F2) is \033[1;2Q
1754595682.319000 input_key_build: 0x40000010e25d (S-F3) is \033[1;2R
1754595682.319015 input_key_build: 0x40000010e25e (S-F4) is \033[1;2S
1754595682.319024 input_key_build: 0x40000010e25f (S-F5) is \033[15;2~
1754595682.319032 input_key_build: 0x40000010e260 (S-F6) is \033[17;2~
1754595682.319042 input_key_build: 0x40000010e261 (S-F7) is \033[18;2~
1754595682.319050 input_key_build: 0x40000010e262 (S-F8) is \033[19;2~
1754595682.319059 input_key_build: 0x40000010e263 (S-F9) is \033[20;2~
1754595682.319068 input_key_build: 0x40000010e264 (S-F10) is \033[21;2~
1754595682.319093 input_key_build: 0x40000010e265 (S-F11) is \033[23;2~
1754595682.319102 input_key_build: 0x40000010e266 (S-F12) is \033[24;2~
1754595682.319111 input_key_build: 0x40000010e267 (S-IC) is \033[2;2~
1754595682.319120 input_key_build: 0x40000010e268 (S-DC) is \033[3;2~
1754595682.319129 input_key_build: 0x40000010e269 (S-Home) is \033[1;2H
1754595682.319139 input_key_build: 0x40000010e26a (S-End) is \033[1;2F
1754595682.319148 input_key_build: 0x40000010e26b (S-NPage) is \033[6;2~
1754595682.319162 input_key_build: 0x40000010e26c (S-PPage) is \033[5;2~
1754595682.319171 input_key_build: 0x40000010e26e (S-Up) is \033[1;2A
1754595682.319180 input_key_build: 0x40000010e26f (S-Down) is \033[1;2B
1754595682.319189 input_key_build: 0x40000010e270 (S-Left) is \033[1;2D
1754595682.319198 input_key_build: 0x40000010e271 (S-Right) is \033[1;2C
1754595682.319207 input_key_build: 0x60000010e25b (C-S-F1) is \033[1;6P
1754595682.319216 input_key_build: 0x60000010e25c (C-S-F2) is \033[1;6Q
1754595682.319231 input_key_build: 0x60000010e25d (C-S-F3) is \033[1;6R
1754595682.319240 input_key_build: 0x60000010e25e (C-S-F4) is \033[1;6S
1754595682.319249 input_key_build: 0x60000010e25f (C-S-F5) is \033[15;6~
1754595682.319258 input_key_build: 0x60000010e260 (C-S-F6) is \033[17;6~
1754595682.319267 input_key_build: 0x60000010e261 (C-S-F7) is \033[18;6~
1754595682.319276 input_key_build: 0x60000010e262 (C-S-F8) is \033[19;6~
1754595682.319285 input_key_build: 0x60000010e263 (C-S-F9) is \033[20;6~
1754595682.319299 input_key_build: 0x60000010e264 (C-S-F10) is \033[21;6~
1754595682.319308 input_key_build: 0x60000010e265 (C-S-F11) is \033[23;6~
1754595682.319317 input_key_build: 0x60000010e266 (C-S-F12) is \033[24;6~
1754595682.319327 input_key_build: 0x60000010e267 (C-S-IC) is \033[2;6~
1754595682.319335 input_key_build: 0x60000010e268 (C-S-DC) is \033[3;6~
1754595682.319345 input_key_build: 0x60000010e269 (C-S-Home) is \033[1;6H
1754595682.319354 input_key_build: 0x60000010e26a (C-S-End) is \033[1;6F
1754595682.319368 input_key_build: 0x60000010e26b (C-S-NPage) is \033[6;6~
1754595682.319378 input_key_build: 0x60000010e26c (C-S-PPage) is \033[5;6~
1754595682.319387 input_key_build: 0x60000010e26e (C-S-Up) is \033[1;6A
1754595682.319396 input_key_build: 0x60000010e26f (C-S-Down) is \033[1;6B
1754595682.319405 input_key_build: 0x60000010e270 (C-S-Left) is \033[1;6D
1754595682.319415 input_key_build: 0x60000010e271 (C-S-Right) is \033[1;6C
1754595682.319424 input_key_build: 0x200000010e272 (KP/[K]) is \033Oo
1754595682.319450 input_key_build: 0x200000010e273 (KP*[K]) is \033Oj
1754595682.319460 input_key_build: 0x200000010e274 (KP-[K]) is \033Om
1754595682.319469 input_key_build: 0x200000010e275 (KP7[K]) is \033Ow
1754595682.319479 input_key_build: 0x200000010e276 (KP8[K]) is \033Ox
1754595682.319487 input_key_build: 0x200000010e277 (KP9[K]) is \033Oy
1754595682.319497 input_key_build: 0x200000010e278 (KP+[K]) is \033Ok
1754595682.319506 input_key_build: 0x200000010e279 (KP4[K]) is \033Ot
1754595682.319515 input_key_build: 0x200000010e27a (KP5[K]) is \033Ou
1754595682.319530 input_key_build: 0x200000010e27b (KP6[K]) is \033Ov
1754595682.319539 input_key_build: 0x200000010e27c (KP1[K]) is \033Oq
1754595682.319548 input_key_build: 0x200000010e27d (KP2[K]) is \033Or
1754595682.319558 input_key_build: 0x200000010e27e (KP3[K]) is \033Os
1754595682.319567 input_key_build: 0x200000010e27f (KPEnter[K]) is \033OM
1754595682.319576 input_key_build: 0x200000010e280 (KP0[K]) is \033Op
1754595682.319585 input_key_build: 0x200000010e281 (KP.[K]) is \033On
1754595682.319614 input_key_build: 0x400000010e26e (Up[C]) is \033OA
1754595682.319624 input_key_build: 0x400000010e26f (Down[C]) is \033OB
1754595682.319633 input_key_build: 0x400000010e270 (Left[C]) is \033OD
1754595682.319642 input_key_build: 0x400000010e271 (Right[C]) is \033OC
1754595682.319652 input_key_build: 0x800000010e003 (PasteStart[I]) is \033[200~
1754595682.319662 input_key_build: 0x800000010e004 (PasteEnd[I]) is \033[201~
1754595682.319671 input_key_build: 0x810000010e25b (M-F1[I]) is \033[1;3P
1754595682.319684 input_key_build: 0x810000010e25c (M-F2[I]) is \033[1;3Q
1754595682.319694 input_key_build: 0x810000010e25d (M-F3[I]) is \033[1;3R
1754595682.319715 input_key_build: 0x810000010e25e (M-F4[I]) is \033[1;3S
1754595682.319725 input_key_build: 0x810000010e25f (M-F5[I]) is \033[15;3~
1754595682.319735 input_key_build: 0x810000010e260 (M-F6[I]) is \033[17;3~
1754595682.319744 input_key_build: 0x810000010e261 (M-F7[I]) is \033[18;3~
1754595682.319754 input_key_build: 0x810000010e262 (M-F8[I]) is \033[19;3~
1754595682.319767 input_key_build: 0x810000010e263 (M-F9[I]) is \033[20;3~
1754595682.319776 input_key_build: 0x810000010e264 (M-F10[I]) is \033[21;3~
1754595682.319785 input_key_build: 0x810000010e265 (M-F11[I]) is \033[23;3~
1754595682.319794 input_key_build: 0x810000010e266 (M-F12[I]) is \033[24;3~
1754595682.319803 input_key_build: 0x810000010e267 (M-IC[I]) is \033[2;3~
1754595682.319812 input_key_build: 0x810000010e268 (M-DC[I]) is \033[3;3~
1754595682.319821 input_key_build: 0x810000010e269 (M-Home[I]) is \033[1;3H
1754595682.319836 input_key_build: 0x810000010e26a (M-End[I]) is \033[1;3F
1754595682.319846 input_key_build: 0x810000010e26b (M-NPage[I]) is \033[6;3~
1754595682.319855 input_key_build: 0x810000010e26c (M-PPage[I]) is \033[5;3~
