1754597451.434965 server started (12702): version next-3.6, socket /tmp/tmux-0/default, protocol 8
1754597451.434972 on FreeBSD 14.3-RELEASE FreeBSD 14.3-RELEASE releng/14.3-n271432-8c9ce319fef7 GENERIC
1754597451.434975 using libevent 2.1.12-stable poll
1754597451.434978 using ncurses 6.5 20240427
1754597451.435045 input_key_build: 0x10e003 (PasteStart) is \033[200~
1754597451.435053 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1754597451.435056 input_key_build: 0x10e25b (F1) is \033OP
1754597451.435059 input_key_build: 0x10e25c (F2) is \033OQ
1754597451.435064 input_key_build: 0x10e25d (F3) is \033OR
1754597451.435067 input_key_build: 0x10e25e (F4) is \033OS
1754597451.435071 input_key_build: 0x10e25f (F5) is \033[15~
1754597451.435073 input_key_build: 0x10e260 (F6) is \033[17~
1754597451.435077 input_key_build: 0x10e261 (F7) is \033[18~
1754597451.435079 input_key_build: 0x10e262 (F8) is \033[19~
1754597451.435082 input_key_build: 0x10e263 (F9) is \033[20~
1754597451.435085 input_key_build: 0x10e264 (F10) is \033[21~
1754597451.435090 input_key_build: 0x10e265 (F11) is \033[23~
1754597451.435092 input_key_build: 0x10e266 (F12) is \033[24~
1754597451.435095 input_key_build: 0x10e267 (IC) is \033[2~
1754597451.435098 input_key_build: 0x10e268 (DC) is \033[3~
1754597451.435101 input_key_build: 0x10e269 (Home) is \033[1~
1754597451.435104 input_key_build: 0x10e26a (End) is \033[4~
1754597451.435107 input_key_build: 0x10e26b (NPage) is \033[6~
1754597451.435110 input_key_build: 0x10e26c (PPage) is \033[5~
1754597451.435113 input_key_build: 0x10e26d (BTab) is \033[Z
1754597451.435117 input_key_build: 0x10e26e (Up) is \033[A
1754597451.435121 input_key_build: 0x10e26f (Down) is \033[B
1754597451.435124 input_key_build: 0x10e270 (Left) is \033[D
1754597451.435127 input_key_build: 0x10e271 (Right) is \033[C
1754597451.435130 input_key_build: 0x10e272 (KP/) is /
1754597451.435133 input_key_build: 0x10e273 (KP*) is *
1754597451.435136 input_key_build: 0x10e274 (KP-) is -
1754597451.435139 input_key_build: 0x10e275 (KP7) is 7
1754597451.435143 input_key_build: 0x10e276 (KP8) is 8
1754597451.435146 input_key_build: 0x10e277 (KP9) is 9
1754597451.435149 input_key_build: 0x10e278 (KP+) is +
1754597451.435152 input_key_build: 0x10e279 (KP4) is 4
1754597451.435155 input_key_build: 0x10e27a (KP5) is 5
1754597451.435158 input_key_build: 0x10e27b (KP6) is 6
1754597451.435161 input_key_build: 0x10e27c (KP1) is 1
1754597451.435164 input_key_build: 0x10e27d (KP2) is 2
1754597451.435167 input_key_build: 0x10e27e (KP3) is 3
1754597451.435170 input_key_build: 0x10e27f (KPEnter) is \n
1754597451.435175 input_key_build: 0x10e280 (KP0) is 0
1754597451.435178 input_key_build: 0x10e281 (KP.) is .
1754597451.435184 input_key_build: 0x10e282 (Invalid#10e282) is \033[?997;1n
1754597451.435188 input_key_build: 0x10e283 (Invalid#10e283) is \033[?997;2n
1754597451.435191 input_key_build: 0x20000010e25b (C-F1) is \033[1;5P
1754597451.435194 input_key_build: 0x20000010e25c (C-F2) is \033[1;5Q
1754597451.435198 input_key_build: 0x20000010e25d (C-F3) is \033[1;5R
1754597451.435203 input_key_build: 0x20000010e25e (C-F4) is \033[1;5S
1754597451.435206 input_key_build: 0x20000010e25f (C-F5) is \033[15;5~
1754597451.435209 input_key_build: 0x20000010e260 (C-F6) is \033[17;5~
1754597451.435212 input_key_build: 0x20000010e261 (C-F7) is \033[18;5~
1754597451.435216 input_key_build: 0x20000010e262 (C-F8) is \033[19;5~
1754597451.435218 input_key_build: 0x20000010e263 (C-F9) is \033[20;5~
1754597451.435221 input_key_build: 0x20000010e264 (C-F10) is \033[21;5~
1754597451.435225 input_key_build: 0x20000010e265 (C-F11) is \033[23;5~
1754597451.435229 input_key_build: 0x20000010e266 (C-F12) is \033[24;5~
1754597451.435232 input_key_build: 0x20000010e267 (C-IC) is \033[2;5~
1754597451.435235 input_key_build: 0x20000010e268 (C-DC) is \033[3;5~
1754597451.435238 input_key_build: 0x20000010e269 (C-Home) is \033[1;5H
1754597451.435241 input_key_build: 0x20000010e26a (C-End) is \033[1;5F
1754597451.435245 input_key_build: 0x20000010e26b (C-NPage) is \033[6;5~
1754597451.435248 input_key_build: 0x20000010e26c (C-PPage) is \033[5;5~
1754597451.435253 input_key_build: 0x20000010e26e (C-Up) is \033[1;5A
1754597451.435256 input_key_build: 0x20000010e26f (C-Down) is \033[1;5B
1754597451.435259 input_key_build: 0x20000010e270 (C-Left) is \033[1;5D
1754597451.435262 input_key_build: 0x20000010e271 (C-Right) is \033[1;5C
1754597451.435266 input_key_build: 0x40000010e25b (S-F1) is \033[1;2P
1754597451.435269 input_key_build: 0x40000010e25c (S-F2) is \033[1;2Q
